SIREN;"Raison sociale";Dirigeant;"Site web";Ville;"Code APE";"Résultat net";"Estimation des cotations";"Estimation des encours";"Années d'existence";Département;"Chiffre d'affaires";Effectif;"Capital social";"Capitaux propres";"Code postal";"Date de création";EBITDA;"Forme juridique";Profitabilité;Statuts;Trésorerie;Valorisation;Adresse;"Fonds de roulement";URL
542051180;"TOTALENERGIES SE";"Patrick Pouyanne";https://www.totalenergies.com/;COURBEVOIE;7010Z;;3;248000;70;92;280999000000;6472;8163000000;111724000000;92400;1954-01-01T00:00:00.000Z;75968000000;"Société européenne";;Active;;165191500000;"LA DEFENSE 6, 2 PLACE JEAN MILLIER COURBEVOIE, 92400";-5650000000;https://infonet.fr/entreprises/54205118000066-totalenergies-se/
330703844;CAPGEMINI;"Paul Hermelin";https://www.capgemini.com/;PARIS;7010Z;;4;1500000;39;75;118160000000;1460;1379000000;8467000000;75017;1984-09-19T00:00:00.000Z;1839000000;"Société européenne";;Active;3129000000;48358000000;", 11 RUE DE TILSITT PARIS, 75017";174000000;https://infonet.fr/entreprises/33070384400036-capgemini/
572093920;AXA;"Antoine Gosset-grainville";https://www.axa.fr/;PARIS;6430Z;;3;1500000;67;75;102345000000;4;23027000000;45353000000;75008;1957-01-01T00:00:00.000Z;8710000000;"SA à conseil d'administration";;Active;26165000000;;"DIRECTION JURIDIQUE CENTRALE, 25 AVENUE MATIGNON PARIS, 75008";;https://infonet.fr/entreprises/57209392000062-axa/
759200934;SOREAL;"Jean-marc Gérard Krebs";https://soreal-na.fr/;JOIGNY;7010Z;;5;1500000;65;89;90956482000;15;4620750000;-2807141000;89300;1959-01-01T00:00:00.000Z;1002920000;"Société par actions simplifiée";;Active;9054000;83199730000;"LE PONTON, RUE GEORGES VANNEREUX JOIGNY, 89300";-300809000;https://infonet.fr/entreprises/75920093400033-soreal/
775625767;"FINANCIERE AGACHE";"Florian Ollivier";https://www.financiereagache-finance.com/fr/index;PARIS;6420Z;;1;1500000;70;75;79256000000;1;25229000000;25229000000;75008;1954-01-01T00:00:00.000Z;21002000000;"SA à conseil d'administration";;Active;7751000000;125463000000;", 11 RUE FRANCOIS IER PARIS, 75008";-48365000000;https://infonet.fr/entreprises/77562576700030-financiere-agache/
775670417;"LVMH MOET HENNESSY LOUIS VUITTON";"Bernard Arnault";https://www.lvmh.com/;PARIS;7010Z;;3;1500000;101;75;79184000000;30;55111000000;55111000000;75008;1923-01-13T00:00:00.000Z;21001000000;"Société européenne";;Active;7300000000;72469000000;"SERVICE COMPTABLE, 22 AVENUE MONTAIGNE PARIS, 75008";-27804000000;https://infonet.fr/entreprises/77567041700051-lvmh-moet-hennessy-louis-vuitton/
582110987;"CHRISTIAN DIOR";"Bernard Arnault";https://www.dior.com/fr_fr;PARIS;6420Z;;3;1500000;65;75;79184000000;1;19038000000;19038000000;75008;1958-10-31T00:00:00.000Z;20996000000;"Société européenne";;Active;7588000000;85249000000;"7-7 BIS, 30 AVENUE MONTAIGNE PARIS, 75008";-53068000000;https://infonet.fr/entreprises/58211098700010-christian-dior/
431682764;SOFIRAM;"Gabrielle, Marie Rouxel";https://www.jlconsulting.fr;AIX-EN-PROVENCE;6420Z;;1;1500000;24;13;61503596000;1;2195000000;23305613000;13090;2000-06-02T00:00:00.000Z;14201027000;"Société par actions simplifiée";;Active;14734969000;86782110000;"C/O PPR-HPP, 235 ALLEE NICOLAS DE STAEL AIX-EN-PROVENCE, 13090";2773096000;https://infonet.fr/entreprises/43168276400037-sofiram/
542065479;"STELLANTIS AUTO SAS";"Xavier Chereau";https://www.stellantis.com;POISSY;2910Z;867282000;3;1500000;70;78;55501520000;48363;300177000;3860922000;78300;1954-01-01T00:00:00.000Z;2151545000;"Société par actions simplifiée";1;Active;4883087000;48089970000;"2-10, 2 BOULEVARD DE L’EUROPE POISSY, 78300";-2662236000;https://infonet.fr/entreprises/54206547900926-stellantis-auto-sas/
552081317;"ELECTRICITE DE FRANCE";"Jean-bernard Levy";http://edf.fr/;PARIS;3511Z;1457000000;4;1500000;69;75;53001000000;90149;1619000000;38579000000;75008;1955-01-01T00:00:00.000Z;2567000000;"SA à conseil d'administration";2;Active;10926000000;26886000000;"22-30, 22 AVENUE DE WAGRAM PARIS, 75008";-74048000000;https://infonet.fr/entreprises/55208131766522-electricite-de-france/
562024422;"CMA CGM";"Rodolphe Saade";https://www.cma-cgm.com/;MARSEILLE;5020Z;;1;1500000;122;13;52082300000;6065;250000000;41469100000;13002;1901-12-25T00:00:00.000Z;582445800000;"SA à conseil d'administration";;Active;9694000000;1168763100000;"20-22, 4 BOULEVARD SAADE - QUAI ARENC MARSEILLE, 13002";-214907100000;https://infonet.fr/entreprises/56202442200486-cma-cgm/
